"comparison","status","error"
"CA1slmres_CA1slmcon","ERROR","undefined columns selected"
"CA1slmsus_CA1slmcon","ERROR","undefined columns selected"
"CA1slmsus_CA1slmres","ERROR","undefined columns selected"
"CA1sores_CA1socon","ERROR","undefined columns selected"
"CA1sosus_CA1socon","ERROR","undefined columns selected"
"CA1sosus_CA1sores","ERROR","undefined columns selected"
"CA1srres_CA1srcon","ERROR","undefined columns selected"
"CA1srsus_CA1srcon","ERROR","undefined columns selected"
"CA1srsus_CA1srres","ERROR","undefined columns selected"
"CA2slmres_CA2slmcon","ERROR","undefined columns selected"
"CA2slmsus_CA2slmcon","ERROR","undefined columns selected"
"CA2slmsus_CA2slmres","ERROR","undefined columns selected"
"CA2sores_CA2socon","ERROR","undefined columns selected"
"CA2sosus_CA2socon","ERROR","undefined columns selected"
"CA2sosus_CA2sores","ERROR","undefined columns selected"
"CA2srres_CA2srcon","ERROR","undefined columns selected"
"CA2srsus_CA2srcon","ERROR","undefined columns selected"
"CA2srsus_CA2srres","ERROR","undefined columns selected"
"CA3sores_CA3socon","ERROR","undefined columns selected"
"CA3sosus_CA3socon","ERROR","undefined columns selected"
"CA3sosus_CA3sores","ERROR","undefined columns selected"
"CA3srres_CA3srcon","ERROR","undefined columns selected"
"CA3srsus_CA3srcon","ERROR","undefined columns selected"
"CA3srsus_CA3srres","ERROR","undefined columns selected"
"DGmores_DGmocon","ERROR","undefined columns selected"
"DGmosus_DGmocon","ERROR","undefined columns selected"
"DGmosus_DGmores","ERROR","undefined columns selected"
"DGpores_DGpocon","ERROR","undefined columns selected"
"DGposus_DGpocon","ERROR","undefined columns selected"
"DGposus_DGpores","ERROR","undefined columns selected"
