"file","classification","reason","sha256"
"results/figures/manuscript_candidates/final_truth_v9/figure_03/panels/README.md","UNCHANGED_RERENDER","Figure 3 re-rendered after the column-registration repair","778c0c5503ff9eb60834e5b86c57d564071283bedde9f2cce7b4040d171ad58c"
"results/figures/manuscript_candidates/final_truth_v9/figure_03/panels/v9_atlas.svg","EXPECTED_PB01_RENDER_FIX","Figure 3 re-rendered after the column-registration repair","737aa0f1730be9a3cbc8a156b9b20e183a9f68141e4c8c65d2fcd874f7833277"
"results/figures/manuscript_candidates/final_truth_v9/figure_03/panels/v9_bridge.svg","UNCHANGED_RERENDER","Figure 3 re-rendered after the column-registration repair","f12819da0258ad6cb620d81b26c180b36c5b526883bd078c139cf54e12b29555"
"results/figures/manuscript_candidates/final_truth_v9/figure_03/panels/v9_curve_ox.svg","UNCHANGED_RERENDER","Figure 3 re-rendered after the column-registration repair","a55136e4c1509f7ab50cafe6d6f8d05b6761c8d63cbc7544ab9c65b0247dee96"
"results/figures/manuscript_candidates/final_truth_v9/figure_03/panels/v9_curve_rna.svg","UNCHANGED_RERENDER","Figure 3 re-rendered after the column-registration repair","2ceed7f81dfd5a43c00c1c62f835f77ef548e1a011abd7584a3093b5a70d01d7"
"results/figures/manuscript_candidates/final_truth_v9/figure_03/panels/v9_curve_syn.svg","UNCHANGED_RERENDER","Figure 3 re-rendered after the column-registration repair","29b6ba3d0f0de4c410dc5595e96e62da48453d165688d8dd8ebc873ee5619ecc"
"results/figures/manuscript_candidates/final_truth_v9/figure_03/panels/v9_dap_track.svg","EXPECTED_PB01_RENDER_FIX","Figure 3 re-rendered after the column-registration repair","9b86c08c9baed9f1a23c7b2092a6e85d584dcfe9632434df968dabe71aa36cf9"
"results/figures/manuscript_candidates/final_truth_v9/figure_03/panels/v9_prot_ox.svg","UNCHANGED_RERENDER","Figure 3 re-rendered after the column-registration repair","f38dc69f058d11a127d600fff78ab5b759c269196160282a54f753e222733631"
"results/figures/manuscript_candidates/final_truth_v9/figure_03/panels/v9_prot_rna.svg","UNCHANGED_RERENDER","Figure 3 re-rendered after the column-registration repair","7c6fc486d08f378bb498129346cd12d96c29bc909d6a4c0413f0ae2ff5ee75d4"
"results/figures/manuscript_candidates/final_truth_v9/figure_03/panels/v9_prot_syn.svg","UNCHANGED_RERENDER","Figure 3 re-rendered after the column-registration repair","c44055b3bbde9ab2c4e2a4132cde9f1a45113f04566a1a47fed8797abccf848d"
"results/figures/manuscript_candidates/final_truth_v9/figure_02/panels/README.md","UNCHANGED_RERENDER","Figure 2 re-rendered after the provenance reroute","c63cec98d021f629d79d6af458c25f835c24bbf5a72c7254767d5b05cb778b48"
"results/figures/manuscript_candidates/final_truth_v9/figure_02/panels/v9_bilateral_main.svg","UNCHANGED_RERENDER","Figure 2 re-rendered after the provenance reroute","feeb28168633f00bd60a7090365d373143db38b5fcba14d2527a3c6082fedfcf"
"results/figures/manuscript_candidates/final_truth_v9/figure_02/panels/v9_compartment.svg","UNCHANGED_RERENDER","Figure 2 re-rendered after the provenance reroute","4ad9109f315672e9238ffea4c47dbbf0821b22f4b4c8c53b0372c1348638455f"
"results/figures/manuscript_candidates/final_truth_v9/figure_02/panels/v9_depth.svg","EXPECTED_PB02_PROVENANCE_FIX","Figure 2 re-rendered after the provenance reroute","5f3fbe2e40f19aff4c81faef72fe881bbf2e749090f983138aa1c03121284c01"
"results/figures/manuscript_candidates/final_truth_v9/figure_02/panels/v9_external_main.svg","UNCHANGED_RERENDER","Figure 2 re-rendered after the provenance reroute","7fb6d7cf932ab4eee402700c9135f29431a4c25a2cac3ca9ebe71a3e420f276a"
"results/figures/manuscript_candidates/final_truth_v9/figure_02/panels/v9_fingerprint.svg","UNCHANGED_RERENDER","Figure 2 re-rendered after the provenance reroute","043b8860a732cc99b89775d0ebce2417ea29adacfa7e820b4ee317beda2f5648"
"results/figures/manuscript_candidates/final_truth_v9/figure_02/panels/v9_internal_main.svg","UNCHANGED_RERENDER","Figure 2 re-rendered after the provenance reroute","1fb4eb4fe788f58a49f2a1940e98f9247c5c2b6937666ebdc96c4bca67a8f0ed"
"results/figures/manuscript_candidates/final_truth_v9/figure_02/panels/v9_pca.svg","EXPECTED_PB02_PROVENANCE_FIX","Figure 2 re-rendered after the provenance reroute","776f6a6ba05375a21ccdfaf1c57616b26db6024ee1b1f2d2717f556f18588d3a"
"results/figures/manuscript_candidates/final_truth_v9/figure_02/panels/v9_schematic.svg","UNCHANGED_RERENDER","Figure 2 re-rendered after the provenance reroute","d7cbfa23b6e37874dbe1b022637d0df07d5af3c084d763c857c0e809a9e7302b"
"results/reports/manuscript_candidates/final_truth_v9/final_figure_legends_v9.md","EXPECTED_PB03_LEGEND_FIX","eps-floor disclosure now derived: 94 of 953","9d592931499e87c702bb3897d8ff26a9f8047487e2f04414fe0f38e91234780c"
"results/figures/manuscript/figure_02/assembled/figure_02.pdf","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","eb5b52e44521a73e3023b8e1e38abb563c2aa417fcfe048f0ff76fb8685b9957"
"results/figures/manuscript/figure_02/assembled/figure_02.png","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","b1b366e3b110bfa400bb041d30c0f2ac0c0e8149c78c1906da6e98ae6abf9c35"
"results/figures/manuscript/figure_02/assembled/figure_02.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","f176c8a7e6f6b8951c306f321e7faea9cb2daf057d91c941197fbd083d80a32d"
"results/figures/manuscript/figure_02/panels/figure_02a.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","d7cbfa23b6e37874dbe1b022637d0df07d5af3c084d763c857c0e809a9e7302b"
"results/figures/manuscript/figure_02/panels/figure_02b.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","5f3fbe2e40f19aff4c81faef72fe881bbf2e749090f983138aa1c03121284c01"
"results/figures/manuscript/figure_02/panels/figure_02c.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","776f6a6ba05375a21ccdfaf1c57616b26db6024ee1b1f2d2717f556f18588d3a"
"results/figures/manuscript/figure_02/panels/figure_02d.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","043b8860a732cc99b89775d0ebce2417ea29adacfa7e820b4ee317beda2f5648"
"results/figures/manuscript/figure_02/panels/figure_02e.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","4ad9109f315672e9238ffea4c47dbbf0821b22f4b4c8c53b0372c1348638455f"
"results/figures/manuscript/figure_02/panels/figure_02f.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","feeb28168633f00bd60a7090365d373143db38b5fcba14d2527a3c6082fedfcf"
"results/figures/manuscript/figure_02/panels/figure_02g.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","7fb6d7cf932ab4eee402700c9135f29431a4c25a2cac3ca9ebe71a3e420f276a"
"results/figures/manuscript/figure_02/panels/figure_02h.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","1fb4eb4fe788f58a49f2a1940e98f9247c5c2b6937666ebdc96c4bca67a8f0ed"
"results/manuscript/figure_2/assembled/figure_02.pdf","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure exported","eb5b52e44521a73e3023b8e1e38abb563c2aa417fcfe048f0ff76fb8685b9957"
"results/manuscript/figure_2/assembled/figure_02.png","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure exported","b1b366e3b110bfa400bb041d30c0f2ac0c0e8149c78c1906da6e98ae6abf9c35"
"results/manuscript/figure_2/assembled/figure_02.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure exported","f176c8a7e6f6b8951c306f321e7faea9cb2daf057d91c941197fbd083d80a32d"
"results/manuscript/figure_2/panels/figure_02a.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure exported","d7cbfa23b6e37874dbe1b022637d0df07d5af3c084d763c857c0e809a9e7302b"
"results/manuscript/figure_2/panels/figure_02b.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure exported","5f3fbe2e40f19aff4c81faef72fe881bbf2e749090f983138aa1c03121284c01"
"results/manuscript/figure_2/panels/figure_02c.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure exported","776f6a6ba05375a21ccdfaf1c57616b26db6024ee1b1f2d2717f556f18588d3a"
"results/manuscript/figure_2/panels/figure_02d.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure exported","043b8860a732cc99b89775d0ebce2417ea29adacfa7e820b4ee317beda2f5648"
"results/manuscript/figure_2/panels/figure_02e.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure exported","4ad9109f315672e9238ffea4c47dbbf0821b22f4b4c8c53b0372c1348638455f"
"results/manuscript/figure_2/panels/figure_02f.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure exported","feeb28168633f00bd60a7090365d373143db38b5fcba14d2527a3c6082fedfcf"
"results/manuscript/figure_2/panels/figure_02g.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure exported","7fb6d7cf932ab4eee402700c9135f29431a4c25a2cac3ca9ebe71a3e420f276a"
"results/manuscript/figure_2/panels/figure_02h.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure exported","1fb4eb4fe788f58a49f2a1940e98f9247c5c2b6937666ebdc96c4bca67a8f0ed"
"results/figures/manuscript/figure_03/assembled/figure_03.pdf","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","471a2e1884851e086342823f358bae0b2c2e31919e8a3f5504de665af0a7ff1f"
"results/figures/manuscript/figure_03/assembled/figure_03.png","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","b3bd7d337592eccbf3493d69fc957625992b16e835033ea3ca764ff76790a704"
"results/figures/manuscript/figure_03/assembled/figure_03.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","1c3799e6750cf44bc77f72e9d1d19a69cd3b86748490d67937573284c8cdf4fd"
"results/figures/manuscript/figure_03/panels/figure_03a.svg","EXPECTED_PROMOTION_OUTPUT","promoted manuscript figure materialised","9b86c08c9baed9f1a23c7b2092a6e85d584dcfe9632434df968dabe71aa36cf9"
