"change","path","note"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_01/assembled/extended_data_01.pdf","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_01/assembled/extended_data_01.png","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_01/assembled/extended_data_01.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_01/panels/extended_data_01a.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_01/panels/extended_data_01b.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_02/assembled/extended_data_02.pdf","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_02/assembled/extended_data_02.png","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_02/assembled/extended_data_02.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_02/panels/extended_data_02a.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_02/panels/extended_data_02b.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_03/assembled/extended_data_03.pdf","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_03/assembled/extended_data_03.png","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_03/assembled/extended_data_03.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_03/panels/extended_data_03a.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_03/panels/extended_data_03b.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_03/panels/extended_data_03c.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_03/panels/extended_data_03d.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_03/panels/extended_data_03e.svg","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_05/assembled/extended_data_05.pdf","source figure mtime postdates the superseded manifest; unrelated to the failed run"
"ADDED_curated_figure_created_after_previous_export","results/figures/manuscript/extended_data_05/assembled/extended_data_05.png","source figure mtime postdates the superseded manifest; unrelated to the failed run"
