"domain","analysis_id","entrypoint","n_declared_outputs","current_output_roots","historical_output_roots","proposed_output_roots","frozen_objects_beneath","runtime_consumer_files","unknown_dependency_kinds","consumer_kinds","canonical_owner_of_a_family","multi_writer_families"
"differential_abundance","run_clusterprofiler_enrichment","analysis/differential_abundance/run_clusterprofiler_enrichment.R",1,"results/differential_abundance/run_clusterprofiler_enrichment/<dataset>/models","data/processed/04_differential_expression_enrichment/clusterProfiler/<dataset>/clusterProfiler_manifest.csv","work/differential_abundance/run_clusterprofiler_enrichment/<dataset>/clusterProfiler_manifest.csv",0,40,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"differential_abundance","audit_gsea_protein_direction","analysis/differential_abundance/audit_gsea_protein_direction.R",5,"results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology> | results/differential_abundance/audit_gsea_protein_direction/<dataset>/manifests/<ontology>","results/tables/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/gsea_contrast_direction_summary.csv | results/tables/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/gsea_term_direction_audit.csv | results/tables/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/input_status.csv","results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/gsea_contrast_direction_summary.csv | results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/gsea_term_direction_audit.csv | results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/input_status.csv",0,36,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"differential_abundance","compare_go_enrichment","analysis/differential_abundance/compare_go_enrichment.R",2,"results/differential_abundance/compare_go_enrichment/<dataset>/models | results/differential_abundance/compare_go_enrichment/<dataset>","results/tables/04_differential_expression_enrichment/compareGO/<dataset>/ | data/processed/04_differential_expression_enrichment/compareGO/<dataset>/compareGO_input_manifest.csv","results/differential_abundance/compare_go_enrichment/<dataset>/tables/ | work/differential_abundance/compare_go_enrichment/<dataset>/compareGO_input_manifest.csv",0,36,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"differential_abundance","annotate_neuropil_reference","analysis/differential_abundance/annotate_neuropil_reference.R",1,"results/differential_abundance/annotate_neuropil_reference/<dataset>","results/tables/04_differential_expression_enrichment/neuropil_reference_annotation/<dataset>/","results/differential_abundance/annotate_neuropil_reference/<dataset>/tables/",0,36,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"differential_abundance","test_microglia_targeted_signatures","analysis/differential_abundance/test_microglia_targeted_signatures.R",1,"results/differential_abundance/test_microglia_targeted_signatures/microglia","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/","results/differential_abundance/test_microglia_targeted_signatures/<dataset>/tables/",0,36,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"differential_abundance","summarize_biological_programs","analysis/differential_abundance/summarize_biological_programs.R",1,"results/differential_abundance/summarize_biological_programs/<dataset>/tables","results/tables/04_differential_expression_enrichment/biological_program_summary/<dataset>/program_summary.csv","results/differential_abundance/summarize_biological_programs/<dataset>/tables/program_summary.csv",0,36,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"differential_abundance","build_go_program_atlas","analysis/differential_abundance/build_go_program_atlas.R",6,"results/differential_abundance/build_go_program_atlas/global/tables | results/differential_abundance/build_go_program_atlas/global/tables/source_data","results/tables/04_differential_expression_enrichment/compareGO_spatial_atlas/compareGO_spatial_program_atlas_tables.xlsx | results/tables/04_differential_expression_enrichment/compareGO_spatial_atlas/spatial_program_summary.csv | results/tables/04_differential_expression_enrichment/compareGO_spatial_atlas/sus_res_manuscript_theme_summary.csv","results/differential_abundance/build_go_program_atlas/<dataset>/tables/compareGO_spatial_program_atlas_tables.xlsx | results/differential_abundance/build_go_program_atlas/<dataset>/tables/spatial_program_summary.csv | results/differential_abundance/build_go_program_atlas/<dataset>/tables/sus_res_manuscript_theme_summary.csv",0,57,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"differential_abundance","compare_external_stress_signatures","analysis/differential_abundance/compare_external_stress_signatures.R",3,"results/differential_abundance/compare_external_stress_signatures/global/tables | results/differential_abundance/compare_external_stress_signatures/global/tables/source_data | results/differential_abundance/compare_external_stress_signatures/global/manifests","results/tables/04_differential_expression_enrichment/external_stress_disease_signature_overlap/global/external_stress_disease_signature_overlap.csv | results/logs/04_differential_expression_enrichment/external_stress_disease_signature_overlap/global/run_manifest.yml | results/source_data/04_differential_expression_enrichment/external_stress_disease_signature_overlap/global/external_stress_disease_signature_overlap.csv","results/differential_abundance/compare_external_stress_signatures/global/tables/external_stress_disease_signature_overlap.csv | results/differential_abundance/compare_external_stress_signatures/global/manifests/run_manifest.yml | exports/publication_source_data/04_differential_expression_enrichment/external_stress_disease_signature_overlap/global/external_stress_disease_signature_overlap.csv",0,57,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"differential_abundance","validate_control_spatial_identity","analysis/differential_abundance/validate_control_spatial_identity.R",4,"results/differential_abundance/validate_control_spatial_identity/global | results/differential_abundance/validate_control_spatial_identity/global/tables | results/differential_abundance/validate_control_spatial_identity/global/manifests","results/tables/04_differential_expression_enrichment/control_spatial_identity_validation/global/ | results/figures/04_differential_expression_enrichment/control_spatial_identity_validation/global/ | results/logs/04_differential_expression_enrichment/control_spatial_identity_validation/global/run_manifest.yml","results/differential_abundance/validate_control_spatial_identity/global/tables/ | results/differential_abundance/validate_control_spatial_identity/global/plots/ | results/differential_abundance/validate_control_spatial_identity/global/manifests/run_manifest.yml",2,58,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"differential_abundance","build_sus_res_dap_atlas","analysis/differential_abundance/build_sus_res_dap_atlas.R",6,"results/differential_abundance/build_sus_res_dap_atlas/global/tables | results/differential_abundance/build_sus_res_dap_atlas/global | results/differential_abundance/build_sus_res_dap_atlas/global/reports","results/tables/04_differential_expression_enrichment/sus_res_spatial_dap_atlas/global/ | results/tables/04_differential_expression_enrichment/sus_res_spatial_dap_atlas/global/sus_res_manuscript_theme_summary.csv | results/figures/04_differential_expression_enrichment/sus_res_spatial_dap_atlas/global/","results/differential_abundance/build_sus_res_dap_atlas/global/tables/ | results/differential_abundance/build_sus_res_dap_atlas/global/tables/sus_res_manuscript_theme_summary.csv | results/differential_abundance/build_sus_res_dap_atlas/global/plots/",0,57,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
"differential_abundance","audit_stress_response_biology","analysis/differential_abundance/audit_stress_response_biology.R",5,"results/differential_abundance/audit_stress_response_biology/global | results/differential_abundance/audit_stress_response_biology/global/tables | results/differential_abundance/audit_stress_response_biology/global/manifests","results/tables/04_differential_expression_enrichment/stress_response_biological_audit/global/ | results/figures/04_differential_expression_enrichment/stress_response_biological_audit/global/ | results/reports/04_differential_expression_enrichment/stress_response_biological_audit/global/","results/differential_abundance/audit_stress_response_biology/global/tables/ | results/differential_abundance/audit_stress_response_biology/global/plots/ | results/differential_abundance/audit_stress_response_biology/global/reports/",0,57,0,"CONFIG | DIRECT_READER | DOWNSTREAM_ANALYSIS | EXPORTER | INDIRECT_READER_VIA_HELPER | TEST",TRUE,0
